Website,Avg_Daily_Visitors,Avg_Daily_Pageviews,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Traffic_Rank
www.elsalvadortimes.com,8392,26015,0,0,0,0,0,0,0.000525,0.000688,0.000036,0.000046,2.865,13377
www.olx.com.sv,33709,326978,0,1,48,1,0,0,0.002579,0.002779,0.00064,0.000645,10.505,23125
www.paginasamarillas.com.sv,3826,6121,0,2,0,0,0,0,0.000191,0.000363,0.000007,0.000013,1.91,40926
www.mh.gob.sv,14081,99981,0,57,58,0,0,0,0.000439,0.001442,0.000046,0.000258,3.82,55992
www.ues.edu.sv,21723,125996,0,0,19,1,0,0,0.001337,0.001566,0.000201,0.000214,5.4435,42611
www.noseasmaje.com,5951,7141,0,0,0,0,0,0,0.000793,0.000382,0.00002,0.000011,1.0505,31703
www.sport.es,540073,1420393,0,799,168000,228,2,38,0.0384,0.045024,0.002496,0.002909,2.4,1891
www.divxtotal.com,412846,2097259,6,480,294,1,0,15,0.02112,0.030912,0.003158,0.003629,5.76,2249
www.elitetorrent.net,472409,2220325,0,747,533,6,0,595,0.0432,0.03216,0.005424,0.003571,4.8,2051
www.guineaecuatorialpress.com,11147,30096,0,11,4,8,0,0,0.000955,0.000783,0.000038,0.000042,1.91,87357
www.nextlnk13.com,1531672,2358776,0,0,0,0,0,0,0.11136,0.1248,0.003898,0.004502,1.536,2129
www.mejortorrent.com,686189,3774040,0,348,104,0,0,234,0.06624,0.057696,0.009245,0.007841,5.376,1086
www.news.pn,23318,81616,620,11,475,0,0,0,0.001051,0.001815,0.000115,0.000151,4.393,36596
www.pubted.com,416337,453807,0,0,1,0,0,0,0.04224,0.04944,0.001056,0.001296,1.056,2295
www.ainder.club,547204,601925,0,0,0,0,0,0,0.046795,0.019482,0.001146,0.000502,1.0505,18767
www.ukr.net,878600,2881808,24,5,2360,168,0,145,0.076512,0.060192,0.00599,0.004672,2.976,1302
www.hp.com,2298657,7999326,90,15,1280000,551,0,10100,0.1488,0.1872,0.012384,0.015408,3.1392,355
www.bannge.com,5335,37352,0,0,0,8,0,0,0.000662,0.00035,0.000142,0.000039,9.45,155470
www.milanuncios.com,744482,4794468,5,2,10900,36,0,6,0.05856,0.058944,0.009888,0.008716,6.336,1043
www.dealwifi.com,711103,2794636,0,2,0,0,0,0,0.05664,0.061152,0.004925,0.005721,3.648,1116
www.yandex.ua,1784889,6050772,0,12,319,5,0,29,0.15264,0.139776,0.012,0.011309,2.9472,549
www.canal-plus.com,60342,247401,0,53,4,3,0,0,0.005539,0.00509,0.000468,0.000478,3.1515,11903
www.google.ee,441243,3194603,12,1,138,29,0,33,0.0336,0.034944,0.005731,0.005873,6.4224,1902
www.postimees.ee,152950,799932,5,0,353,11,0,168,0.01152,0.012384,0.001363,0.001517,4.512,6143
